#原文	読み	文字種	タグ	OrigIdx
が	ガ+S	HIRAGANA	S	32
で	デ	HIRAGANA	S	34
き	キ	HIRAGANA	S	35
る	ル+S	HIRAGANA	S	36
ス	ス	KATAKANA	S	38
ポ	ポ	KATAKANA	S	39
ー	ー	KATAKANA	S	40
ツ	ツ	KATAKANA	S	41
の	ノ+S	HIRAGANA	S	42
一	ヒト	KANJI	S	44
つ	ツ	HIRAGANA	S	45
で	デ	HIRAGANA	S	46
す	ス	HIRAGANA	S	47
。	。+S	SYMBOL	S	48
車	クルマ	KANJI	S	49
椅	イ	KANJI	S	50
子	ス+S	KANJI	S	51
バ	バ	KATAKANA	S	53
ス	ス	KATAKANA	S	54
ケ	ケ	KATAKANA	S	55
ッ	ッ	KATAKANA	S	56
ト	ト+S	KATAKANA	S	57
ボ	ボ	KATAKANA	S	59
ー	ー	KATAKANA	S	60
ル	ル	KATAKANA	S	61
は	ワ	HIRAGANA	S	62
、	、+S	SYMBOL	S	63
通	ツー	KANJI	S	64
常	ジョー	KANJI	S	65
の	ノ+S	HIRAGANA	S	66
バ	バ	KATAKANA	S	68
ス	ス	KATAKANA	S	69
ケ	ケ	KATAKANA	S	70
ッ	ッ	KATAKANA	S	71
ト	ト+S	KATAKANA	S	72
ボ	ボ	KATAKANA	S	74
ー	ー	KATAKANA	S	75
ル	ル	KATAKANA	S	76
と	ト+S	HIRAGANA	S	77
同	ドー	KANJI	S	79
様	ヨー	KANJI	S	80
の	ノ+S	HIRAGANA	S	81
ル	ル	KATAKANA	S	83
ー	ー	KATAKANA	S	84
ル	ル	KATAKANA	S	85
で	デ+S	HIRAGANA	S	86
行	オコナ	KANJI	S	88
わ	ワ	HIRAGANA	S	89
れ	レ	HIRAGANA	S	90
ま	マ	HIRAGANA	S	91
す	ス	HIRAGANA	S	92
が	ガ	HIRAGANA	S	93
、	、+S	SYMBOL	S	94
選	セン	KANJI	S	95
手	シュ	KANJI	S	96
は	ワ+S	HIRAGANA	S	97
車	クルマ	KANJI	S	99
椅	イ	KANJI	S	100
子	ス	KANJI	S	101
を	ヲ+S	HIRAGANA	S	102
使	シ	KANJI	S	104
用	ヨー+S	KANJI	S	105
し	シ	HIRAGANA	S	107
て	テ+S	HIRAGANA	S	108
プ	プ	KATAKANA	S	110
レ	レ	KATAKANA	S	111
イ	イ+S	KATAKANA	S	112
し	シ	HIRAGANA	S	114
ま	マ	HIRAGANA	S	115
す	ス	HIRAGANA	S	116
。	。+S	SYMBOL	S	117
こ	コ	HIRAGANA	S	118
の	ノ+S	HIRAGANA	S	119
ス	ス	KATAKANA	S	121
ポ	ポ	KATAKANA	S	122
ー	ー	KATAKANA	S	123
ツ	ツ	KATAKANA	S	124
は	ワ	HIRAGANA	S	125
、	、+S	SYMBOL	S	126
身	シン	KANJI	S	127
体	タイ	KANJI	S	128
的	テキ	KANJI	S	129
な	ナ+S	HIRAGANA	S	130
障	ショー	KANJI	S	132
害	ガイ	KANJI	S	133
を	ヲ+S	HIRAGANA	S	134
持	モ	KANJI	S	136
つ	ツ+S	HIRAGANA	S	137
人	ヒト	KANJI	S	139
々	ビト	OTHER	S	140
に	ニ+S	HIRAGANA	S	141
と	ト	HIRAGANA	S	143
っ	ッ	HIRAGANA	S	144
て	テ	HIRAGANA	S	145
、	、+S	SYMBOL	S	146
運	ウン	KANJI	S	147
動	ドー+S	KANJI	S	148
能	ノー	KANJI	S	150
力	リョク	KANJI	S	151
の	ノ+S	HIRAGANA	S	152
向	コー	KANJI	S	154
上	ジョー	KANJI	S	155
や	ヤ+S	HIRAGANA	S	156
社	シャ	KANJI	S	158
会	カイ	KANJI	S	159
的	テキ	KANJI	S	160
な	ナ+S	HIRAGANA	S	161
交	コー	KANJI	S	163
流	リュー	KANJI	S	164
の	ノ+S	HIRAGANA	S	165
機	キ	KANJI	S	167
会	カイ	KANJI	S	168
を	ヲ+S	HIRAGANA	S	169
提	テイ	KANJI	S	171
供	キョー+S	KANJI	S	172
す	ス	HIRAGANA	S	174
る	ル+S	HIRAGANA	S	175
重	ジュー	KANJI	S	177
要	ヨー	KANJI	S	178
な	ナ+S	HIRAGANA	S	179
活	カツ	KANJI	S	181
動	ドー	KANJI	S	182
と	ト+S	HIRAGANA	S	183
な	ナ	HIRAGANA	S	185
っ	ッ	HIRAGANA	S	186
て	テ+S	HIRAGANA	S	187
い	イ	HIRAGANA	S	189
ま	マ	HIRAGANA	S	190
す	ス	HIRAGANA	S	191
。	。+S	SYMBOL	S	192
ま	マ	HIRAGANA	S	193
た	タ	HIRAGANA	S	194
、	、+S	SYMBOL	S	195
車	クルマ	KANJI	S	196
椅	イ	KANJI	S	197
子	ス+S	KANJI	S	198
バ	バ	KATAKANA	S	200
ス	ス	KATAKANA	S	201
ケ	ケ	KATAKANA	S	202
ッ	ッ	KATAKANA	S	203
ト	ト+S	KATAKANA	S	204
ボ	ボ	KATAKANA	S	206
ー	ー	KATAKANA	S	207
ル	ル	KATAKANA	S	208
は	ワ	HIRAGANA	S	209
、	、+S	SYMBOL	S	210
国	コク	KANJI	S	211
際	サイ	KANJI	S	212
的	テキ	KANJI	S	213
な	ナ+S	HIRAGANA	S	214
大	タイ	KANJI	S	216
会	カイ	KANJI	S	217
も	モ+S	HIRAGANA	S	218
開	カイ	KANJI	S	220
催	サイ+S	KANJI	S	221
さ	サ	HIRAGANA	S	223
れ	レ	HIRAGANA	S	224
て	テ+S	HIRAGANA	S	225
お	オ	HIRAGANA	S	227
り	リ	HIRAGANA	S	228
、	、+S	SYMBOL	S	229
多	オオ	KANJI	S	230
く	ク	HIRAGANA	S	231
の	ノ+S	HIRAGANA	S	232
選	セン	KANJI	S	234
手	シュ	KANJI	S	235
が	ガ+S	HIRAGANA	S	236
活	カツ	KANJI	S	238
躍	ヤク+S	KANJI	S	239
し	シ	HIRAGANA	S	241
て	テ+S	HIRAGANA	S	242
い	イ	HIRAGANA	S	244
ま	マ	HIRAGANA	S	245
す	ス	HIRAGANA	S	246
。	。+S	SYMBOL	S	247

低	テイ	KANJI	S	0
遅	チ	KANJI	S	1
延	エン	KANJI	S	2
の	ノ+S	HIRAGANA	S	3
通	ツー	KANJI	S	5
信	シン	KANJI	S	6
は	ワ	HIRAGANA	S	7
、	、+S	SYMBOL	S	8
リ	リ	KATAKANA	S	9
ア	ア	KATAKANA	S	10
ル	ル+S	KATAKANA	S	11
タ	タ	KATAKANA	S	13
イ	イ	KATAKANA	S	14
ム	ム	KATAKANA	S	15
の	ノ+S	HIRAGANA	S	16
ア	ア	KATAKANA	S	18
プ	プ	KATAKANA	S	19
リ	リ	KATAKANA	S	20
ケ	ケ	KATAKANA	S	21
ー	ー	KATAKANA	S	22
シ	ショ	KATAKANA	B	23
ョ	---	KATAKANA	E	24
ン	ン	KATAKANA	S	25
や	ヤ+S	HIRAGANA	S	26
サ	サ	KATAKANA	S	28
ー	ー	KATAKANA	S	29
ビ	ビ	KATAKANA	S	30
ス	ス	KATAKANA	S	31
に	ニ+S	HIRAGANA	S	32
と	ト	HIRAGANA	S	34
っ	ッ	HIRAGANA	S	35
て	テ+S	HIRAGANA	S	36
非	ヒ	KANJI	S	38
常	ジョー	KANJI	S	39
に	ニ+S	HIRAGANA	S	40
重	ジュー	KANJI	S	42
要	ヨー	KANJI	S	43
で	デ	HIRAGANA	S	44
す	ス	HIRAGANA	S	45
。	。+S	SYMBOL	S	46
例	タト	KANJI	S	47
え	エ	HIRAGANA	S	48
ば	バ	HIRAGANA	S	49
、	、+S	SYMBOL	S	50
オ	オ	KATAKANA	S	51
ン	ン	KATAKANA	S	52
ラ	ラ	KATAKANA	S	53
イ	イ	KATAKANA	S	54
ン	ン+S	KATAKANA	S	55
ゲ	ゲ	KATAKANA	S	57
ー	ー	KATAKANA	S	58
ム	ム	KATAKANA	S	59
や	ヤ+S	HIRAGANA	S	60
ビ	ビ	KATAKANA	S	62
デ	デ	KATAKANA	S	63
オ	オ+S	KATAKANA	S	64
会	カイ	KANJI	S	66
議	ギ	KANJI	S	67
な	ナ	HIRAGANA	S	68
ど	ド	HIRAGANA	S	69
で	デ	HIRAGANA	S	70
は	ワ	HIRAGANA	S	71
、	、+S	SYMBOL	S	72
遅	チ	KANJI	S	73
延	エン	KANJI	S	74
が	ガ+S	HIRAGANA	S	75
少	スク	KANJI	S	77
な	ナ	HIRAGANA	S	78
い	イ+S	HIRAGANA	S	79
通	ツー	KANJI	S	81
信	シン	KANJI	S	82
が	ガ+S	HIRAGANA	S	83
求	モト	KANJI	S	85
め	メ	HIRAGANA	S	86
ら	ラ	HIRAGANA	S	87
れ	レ	HIRAGANA	S	88
ま	マ	HIRAGANA	S	89
す	ス	HIRAGANA	S	90
。	。+S	SYMBOL	S	91
低	テイ	KANJI	S	92
遅	チ	KANJI	S	93
延	エン	KANJI	S	94
の	ノ+S	HIRAGANA	S	95
通	ツー	KANJI	S	97
信	シン	KANJI	S	98
を	ヲ+S	HIRAGANA	S	99
実	ジツ	KANJI	S	101
現	ゲン+S	KANJI	S	102
す	ス	HIRAGANA	S	104
る	ル+S	HIRAGANA	S	105
た	タ	HIRAGANA	S	107
め	メ	HIRAGANA	S	108
に	ニ	HIRAGANA	S	109
は	ワ	HIRAGANA	S	110
、	、+S	SYMBOL	S	111
高	コー	KANJI	S	112
速	ソク	KANJI	S	113
な	ナ+S	HIRAGANA	S	114
ネ	ネ	KATAKANA	S	116
ッ	ッ	KATAKANA	S	117
ト	ト+S	KATAKANA	S	118
ワ	ワ	KATAKANA	S	120
ー	ー	KATAKANA	S	121
ク	ク+S	KATAKANA	S	122
イ	イ	KATAKANA	S	124
ン	ン	KATAKANA	S	125
フ	フ	KATAKANA	S	126
ラ	ラ	KATAKANA	S	127
や	ヤ+S	HIRAGANA	S	128
効	コー	KANJI	S	130
率	リツ	KANJI	S	131
的	テキ	KANJI	S	132
な	ナ+S	HIRAGANA	S	133
プ	プ	KATAKANA	S	135
ロ	ロ	KATAKANA	S	136
ト	ト	KATAKANA	S	137
コ	コ	KATAKANA	S	138
ル	ル	KATAKANA	S	139
の	ノ+S	HIRAGANA	S	140
使	シ	KANJI	S	142
用	ヨー	KANJI	S	143
が	ガ+S	HIRAGANA	S	144
必	ヒツ	KANJI	S	146
要	ヨー	KANJI	S	147
で	デ	HIRAGANA	S	148
す	ス	HIRAGANA	S	149
。	。+S	SYMBOL	S	150
ま	マ	HIRAGANA	S	151
た	タ	HIRAGANA	S	152
、	、+S	SYMBOL	S	153
デ	デ	KATAKANA	S	154
ー	ー	KATAKANA	S	155
タ	タ+S	KATAKANA	S	156
セ	セ	KATAKANA	S	158
ン	ン	KATAKANA	S	159
タ	タ	KATAKANA	S	160
ー	ー	KATAKANA	S	161
や	ヤ+S	HIRAGANA	S	162
エ	エ	KATAKANA	S	164
ッ	ッ	KATAKANA	S	165
ジ	ジ+S	KATAKANA	S	166
コ	コ	KATAKANA	S	168
ン	ン	KATAKANA	S	169
ピ	ピュ	KATAKANA	B	170
ュ	---	KATAKANA	E	171
ー	ー	KATAKANA	S	172
テ	ティ	KATAKANA	B	173
ィ	---	KATAKANA	E	174
ン	ン	KATAKANA	S	175
グ	グ	KATAKANA	S	176
の	ノ+S	HIRAGANA	S	177
活	カツ	KANJI	S	179
用	ヨー	KANJI	S	180
も	モ	HIRAGANA	S	181
、	、+S	SYMBOL	S	182
低	テイ	KANJI	S	183
遅	チ	KANJI	S	184
延	エン	KANJI	S	185
を	ヲ+S	HIRAGANA	S	186
実	ジツ	KANJI	S	188
現	ゲン+S	KANJI	S	189
す	ス	HIRAGANA	S	191
る	ル+S	HIRAGANA	S	192
た	タ	HIRAGANA	S	194
め	メ	HIRAGANA	S	195
の	ノ+S	HIRAGANA	S	196
重	ジュー	KANJI	S	198
要	ヨー	KANJI	S	199
な	ナ+S	HIRAGANA	S	200
要	ヨー	KANJI	S	202
素	ソ	KANJI	S	203
と	ト+S	HIRAGANA	S	204
な	ナ	HIRAGANA	S	206
っ	ッ	HIRAGANA	S	207
て	テ+S	HIRAGANA	S	208
い	イ	HIRAGANA	S	210
ま	マ	HIRAGANA	S	211
す	ス	HIRAGANA	S	212
。	。+S	SYMBOL	S	213

広	コー	KANJI	S	0
帯	タイ	KANJI	S	1
域	イキ	KANJI	S	2
の	ノ+S	HIRAGANA	S	3
通	ツー	KANJI	S	5
信	シン+S	KANJI	S	6
経	ケイ	KANJI	S	8
路	ロ	KANJI	S	9
が	ガ+S	HIRAGANA	S	10
必	ヒツ	KANJI	S	12
要	ヨー	KANJI	S	13
な	ナ+S	HIRAGANA	S	14
現	ゲン	KANJI	S	16
代	ダイ	KANJI	S	17
の	ノ+S	HIRAGANA	S	18
イ	イ	KATAKANA	S	20
ン	ン	KATAKANA	S	21
タ	タ	KATAKANA	S	22
ー	ー+S	KATAKANA	S	23
ネ	ネ	KATAKANA	S	25
ッ	ッ	KATAKANA	S	26
ト	ト+S	KATAKANA	S	27
環	カン	KANJI	S	29
境	キョー	KANJI	S	30
で	デ	HIRAGANA	S	31
は	ワ	HIRAGANA	S	32
、	、+S	SYMBOL	S	33
光	ヒカリ+S	KANJI	S	34
フ	ファ	KATAKANA	B	36
ァ	---	KATAKANA	E	37
イ	イ	KATAKANA	S	38
バ	バ	KATAKANA	S	39
ー	ー	KATAKANA	S	40
が	ガ+S	HIRAGANA	S	41
主	シュ	KANJI	S	43
流	リュー	KANJI	S	44
と	ト+S	HIRAGANA	S	45
な	ナ	HIRAGANA	S	47
っ	ッ	HIRAGANA	S	48
て	テ+S	HIRAGANA	S	49
い	イ	HIRAGANA	S	51
ま	マ	HIRAGANA	S	52
す	ス	HIRAGANA	S	53
。	。+S	SYMBOL	S	54
光	ヒカリ+S	KANJI	S	55
フ	ファ	KATAKANA	B	57
ァ	---	KATAKANA	E	58
イ	イ	KATAKANA	S	59
バ	バ	KATAKANA	S	60
ー	ー	KATAKANA	S	61
は	ワ	HIRAGANA	S	62
、	、+S	SYMBOL	S	63
光	ヒカリ+S	KANJI	S	64
信	シン	KANJI	S	66
号	ゴー	KANJI	S	67
を	ヲ+S	HIRAGANA	S	68
利	リ	KANJI	S	70
用	ヨー+S	KANJI	S	71
し	シ	HIRAGANA	S	73
て	テ+S	HIRAGANA	S	74
デ	デ	KATAKANA	S	76
ー	ー	KATAKANA	S	77
タ	タ	KATAKANA	S	78
を	ヲ+S	HIRAGANA	S	79
高	コー	KANJI	S	81
速	ソク	KANJI	S	82
で	デ+S	HIRAGANA	S	83
伝	デン	KANJI	S	85
送	ソー+S	KANJI	S	86
す	ス	HIRAGANA	S	88
る	ル+S	HIRAGANA	S	89
技	ギ	KANJI	S	91
術	ジュツ	KANJI	S	92
で	デ+S	HIRAGANA	S	93
あ	ア	HIRAGANA	S	95
り	リ	HIRAGANA	S	96
、	、+S	SYMBOL	S	97
従	ジュー	KANJI	S	98
来	ライ	KANJI	S	99
の	ノ+S	HIRAGANA	S	100
銅	ドー	KANJI	S	102
線	セン	KANJI	S	103
に	ニ+S	HIRAGANA	S	104
比	クラ	KANJI	S	106
べ	ベ	HIRAGANA	S	107
て	テ+S	HIRAGANA	S	108
大	オオ	KANJI	S	110
幅	ハバ	KANJI	S	111
に	ニ+S	HIRAGANA	S	112
高	コー	KANJI	S	114
速	ソク	KANJI	S	115
な	ナ+S	HIRAGANA	S	116
通	ツー	KANJI	S	118
信	シン	KANJI	S	119
が	ガ+S	HIRAGANA	S	120
可	カ	KANJI	S	122
能	ノー	KANJI	S	123
で	デ	HIRAGANA	S	124
す	ス	HIRAGANA	S	125
。	。+S	SYMBOL	S	126
ま	マ	HIRAGANA	S	127
た	タ	HIRAGANA	S	128
、	、+S	SYMBOL	S	129
光	ヒカリ+S	KANJI	S	130
フ	ファ	KATAKANA	B	132
ァ	---	KATAKANA	E	133
イ	イ	KATAKANA	S	134
バ	バ	KATAKANA	S	135
ー	ー	KATAKANA	S	136
は	ワ+S	HIRAGANA	S	137
長	チョー	KANJI	S	139
距	キョ	KANJI	S	140
離	リ+S	KANJI	S	141
伝	デン	KANJI	S	143
送	ソー	KANJI	S	144
に	ニ	HIRAGANA	S	145
も	モ+S	HIRAGANA	S	146
適	テキ	KANJI	S	148
し	シ	HIRAGANA	S	149
て	テ+S	HIRAGANA	S	150
お	オ	HIRAGANA	S	152
り	リ	HIRAGANA	S	153
、	、+S	SYMBOL	S	154
信	シン	KANJI	S	155
号	ゴー	KANJI	S	156
の	ノ+S	HIRAGANA	S	157
減	ゲン	KANJI	S	159
衰	スイ	KANJI	S	160
が	ガ+S	HIRAGANA	S	161
少	スク	KANJI	S	163
な	ナ	HIRAGANA	S	164
い	イ+S	HIRAGANA	S	165
た	タ	HIRAGANA	S	167
め	メ	HIRAGANA	S	168
、	、+S	SYMBOL	S	169
広	コー	KANJI	S	170
範	ハン	KANJI	S	171
囲	イ	KANJI	S	172
に	ニ+S	HIRAGANA	S	173
わ	ワ	HIRAGANA	S	175
た	タ	HIRAGANA	S	176
る	ル+S	HIRAGANA	S	177
ネ	ネ	KATAKANA	S	179
ッ	ッ	KATAKANA	S	180
ト	ト+S	KATAKANA	S	181
ワ	ワ	KATAKANA	S	183
ー	ー	KATAKANA	S	184
ク	ク+S	KATAKANA	S	185
構	コー	KANJI	S	187
築	チク	KANJI	S	188
に	ニ+S	HIRAGANA	S	189
最	サイ	KANJI	S	191
適	テキ	KANJI	S	192
で	デ	HIRAGANA	S	193
す	ス	HIRAGANA	S	194
。	。+S	SYMBOL	S	195
さ	サ	HIRAGANA	S	196
ら	ラ	HIRAGANA	S	197
に	ニ	HIRAGANA	S	198
、	、+S	SYMBOL	S	199
光	ヒカリ+S	KANJI	S	200
フ	ファ	KATAKANA	B	202
ァ	---	KATAKANA	E	203
イ	イ	KATAKANA	S	204
バ	バ	KATAKANA	S	205
ー	ー	KATAKANA	S	206
は	ワ+S	HIRAGANA	S	207
電	デン	KANJI	S	209
磁	ジ+S	KANJI	S	210
干	カン	KANJI	S	212
渉	ショー	KANJI	S	213
に	ニ+S	HIRAGANA	S	214
強	ツヨ	KANJI	S	216
い	イ+S	HIRAGANA	S	217
た	タ	HIRAGANA	S	219
め	メ	HIRAGANA	S	220
、	、+S	SYMBOL	S	221
安	アン	KANJI	S	222
定	テイ+S	KANJI	S	223
し	シ	HIRAGANA	S	225
た	タ+S	HIRAGANA	S	226
通	ツー	KANJI	S	228
信	シン+S	KANJI	S	229
環	カン	KANJI	S	231
境	キョー	KANJI	S	232
を	ヲ+S	HIRAGANA	S	233
提	テイ	KANJI	S	235
供	キョー+S	KANJI	S	236
し	シ	HIRAGANA	S	238
ま	マ	HIRAGANA	S	239
す	ス	HIRAGANA	S	240
。	。+S	SYMBOL	S	241

映	エイ	KANJI	S	0
画	ガ	KANJI	S	1
は	ワ	HIRAGANA	S	2
、	、+S	SYMBOL	S	3
視	シ	KANJI	S	4
覚	カク	KANJI	S	5
と	ト+S	HIRAGANA	S	6
聴	チョー	KANJI	S	8
覚	カク	KANJI	S	9
を	ヲ+S	HIRAGANA	S	10
通	ツー	KANJI	S	12
じ	ジ	HIRAGANA	S	13
て	テ+S	HIRAGANA	S	14
物	モノ	KANJI	S	16
語	ガタリ	KANJI	S	17
を	ヲ+S	HIRAGANA	S	18
伝	ツタ	KANJI	S	20
え	エ	HIRAGANA	S	21
る	ル+S	HIRAGANA	S	22
芸	ゲイ	KANJI	S	24
術	ジュツ+S	KANJI	S	25
形	ケイ	KANJI	S	27
式	シキ	KANJI	S	28
の	ノ+S	HIRAGANA	S	29
一	ヒト	KANJI	S	31
つ	ツ	HIRAGANA	S	32
で	デ	HIRAGANA	S	33
す	ス	HIRAGANA	S	34
。	。+S	SYMBOL	S	35
映	エイ	KANJI	S	36
画	ガ	KANJI	S	37
は	ワ	HIRAGANA	S	38
、	、+S	SYMBOL	S	39
脚	キャク	KANJI	S	40
本	ホン	KANJI	S	41
、	、+S	SYMBOL	S	42
演	エン	KANJI	S	43
技	ギ	KANJI	S	44
、	、+S	SYMBOL	S	45
撮	サツ	KANJI	S	46
影	エイ	KANJI	S	47
、	、+S	SYMBOL	S	48
編	ヘン	KANJI	S	49
集	シュー	KANJI	S	50
な	ナ	HIRAGANA	S	51
ど	ド	HIRAGANA	S	52
の	ノ+S	HIRAGANA	S	53
要	ヨー	KANJI	S	55
素	ソ	KANJI	S	56
が	ガ+S	HIRAGANA	S	57
組	ク	KANJI	S	59
み	ミ	HIRAGANA	S	60
合	ア	KANJI	S	61
わ	ワ	HIRAGANA	S	62
さ	サ	HIRAGANA	S	63
っ	ッ	HIRAGANA	S	64
て	テ+S	HIRAGANA	S	65
作	ツク	KANJI	S	67
ら	ラ	HIRAGANA	S	68
れ	レ	HIRAGANA	S	69
ま	マ	HIRAGANA	S	70
す	ス	HIRAGANA	S	71
。	。+S	SYMBOL	S	72
映	エイ	KANJI	S	73
画	ガ	KANJI	S	74
は	ワ	HIRAGANA	S	75
、	、+S	SYMBOL	S	76
エ	エ	KATAKANA	S	77
ン	ン	KATAKANA	S	78
タ	タ	KATAKANA	S	79
ー	ー	KATAKANA	S	80
テ	テ	KATAKANA	S	81
イ	イ	KATAKANA	S	82
ン	ン	KATAKANA	S	83
メ	メ	KATAKANA	S	84
ン	ン	KATAKANA	S	85
ト	ト	KATAKANA	S	86
だ	ダ	HIRAGANA	S	87
け	ケ	HIRAGANA	S	88
で	デ+S	HIRAGANA	S	89
な	ナ	HIRAGANA	S	91
く	ク	HIRAGANA	S	92
、	、+S	SYMBOL	S	93
社	シャ	KANJI	S	94
会	カイ	KANJI	S	95
的	テキ	KANJI	S	96
な	ナ+S	HIRAGANA	S	97
メ	メ	KATAKANA	S	99
ッ	ッ	KATAKANA	S	100
セ	セ	KATAKANA	S	101
ー	ー	KATAKANA	S	102
ジ	ジ	KATAKANA	S	103
や	ヤ+S	HIRAGANA	S	104
文	ブン	KANJI	S	106
化	カ	KANJI	S	107
的	テキ	KANJI	S	108
な	ナ+S	HIRAGANA	S	109
価	カ	KANJI	S	111
値	チ	KANJI	S	112
観	カン	KANJI	S	113
を	ヲ+S	HIRAGANA	S	114
伝	ツタ	KANJI	S	116
え	エ	HIRAGANA	S	117
る	ル+S	HIRAGANA	S	118
手	シュ	KANJI	S	120
段	ダン	KANJI	S	121
と	ト+S	HIRAGANA	S	122
し	シ	HIRAGANA	S	124
て	テ	HIRAGANA	S	125
も	モ+S	HIRAGANA	S	126
重	ジュー	KANJI	S	128
要	ヨー	KANJI	S	129
で	デ	HIRAGANA	S	130
す	ス	HIRAGANA	S	131
。	。+S	SYMBOL	S	132
ま	マ	HIRAGANA	S	133
た	タ	HIRAGANA	S	134
、	、+S	SYMBOL	S	135
映	エイ	KANJI	S	136
画	ガ	KANJI	S	137
は	ワ+S	HIRAGANA	S	138
人	ヒト	KANJI	S	140
々	ビト	OTHER	S	141
の	ノ+S	HIRAGANA	S	142
感	カン	KANJI	S	144
情	ジョー	KANJI	S	145
に	ニ+S	HIRAGANA	S	146
訴	ウッタ	KANJI	S	148
え	エ	HIRAGANA	S	149
か	カ	HIRAGANA	S	150
け	ケ	HIRAGANA	S	151
る	ル+S	HIRAGANA	S	152
こ	コ	HIRAGANA	S	154
と	ト	HIRAGANA	S	155
が	ガ+S	HIRAGANA	S	156
で	デ	HIRAGANA	S	158
き	キ	HIRAGANA	S	159
る	ル+S	HIRAGANA	S	160
た	タ	HIRAGANA	S	162
め	メ	HIRAGANA	S	163
、	、+S	SYMBOL	S	164
多	オオ	KANJI	S	165
く	ク	HIRAGANA	S	166
の	ノ+S	HIRAGANA	S	167
人	ヒト	KANJI	S	169
に	ニ+S	HIRAGANA	S	170
愛	アイ	KANJI	S	172
さ	サ	HIRAGANA	S	173
れ	レ	HIRAGANA	S	174
て	テ+S	HIRAGANA	S	175
お	オ	HIRAGANA	S	177
り	リ	HIRAGANA	S	178
、	、+S	SYMBOL	S	179
世	セ	KANJI	S	180
界	カイ	KANJI	S	181
中	ジュー	KANJI	S	182
で	デ+S	HIRAGANA	S	183
多	オオ	KANJI	S	185
く	ク	HIRAGANA	S	186
の	ノ+S	HIRAGANA	S	187
映	エイ	KANJI	S	189
画	ガ	KANJI	S	190
が	ガ+S	HIRAGANA	S	191
制	セイ	KANJI	S	193
作	サク+S	KANJI	S	194
さ	サ	HIRAGANA	S	196
れ	レ	HIRAGANA	S	197
て	テ+S	HIRAGANA	S	198
い	イ	HIRAGANA	S	200
ま	マ	HIRAGANA	S	201
す	ス	HIRAGANA	S	202
。	。+S	SYMBOL	S	203

音	オン	KANJI	S	0
楽	ガク	KANJI	S	1
は	ワ	HIRAGANA	S	2
、	、+S	SYMBOL	S	3
感	カン	KANJI	S	4
情	ジョー	KANJI	S	5
や	ヤ+S	HIRAGANA	S	6
思	シ	KANJI	S	8
考	コー	KANJI	S	9
を	ヲ+S	HIRAGANA	S	10
表	ヒョー	KANJI	S	12
現	ゲン+S	KANJI	S	13
す	ス	HIRAGANA	S	15
る	ル+S	HIRAGANA	S	16
た	タ	HIRAGANA	S	18
め	メ	HIRAGANA	S	19
の	ノ+S	HIRAGANA	S	20
芸	ゲイ	KANJI	S	22
術	ジュツ+S	KANJI	S	23
形	ケイ	KANJI	S	25
式	シキ	KANJI	S	26
の	ノ+S	HIRAGANA	S	27
一	ヒト	KANJI	S	29
つ	ツ	HIRAGANA	S	30
で	デ	HIRAGANA	S	31
す	ス	HIRAGANA	S	32
。	。+S	SYMBOL	S	33
音	オン	KANJI	S	34
楽	ガク	KANJI	S	35
は	ワ	HIRAGANA	S	36
、	、+S	SYMBOL	S	37
リ	リ	KATAKANA	S	38
ズ	ズ	KATAKANA	S	39
ム	ム	KATAKANA	S	40
、	、+S	SYMBOL	S	41
メ	メ	KATAKANA	S	42
ロ	ロ	KATAKANA	S	43
デ	ディ	KATAKANA	B	44
ィ	---	KATAKANA	E	45
ー	ー	KATAKANA	S	46
、	、+S	SYMBOL	S	47
ハ	ハ	KATAKANA	S	48
ー	ー	KATAKANA	S	49
モ	モ	KATAKANA	S	50
ニ	ニ	KATAKANA	S	51
ー	ー	KATAKANA	S	52
な	ナ	HIRAGANA	S	53
ど	ド	HIRAGANA	S	54
の	ノ+S	HIRAGANA	S	55
要	ヨー	KANJI	S	57
素	ソ	KANJI	S	58
を	ヲ+S	HIRAGANA	S	59
組	ク	KANJI	S	61
み	ミ	HIRAGANA	S	62
合	ア	KANJI	S	63
わ	ワ	HIRAGANA	S	64
せ	セ	HIRAGANA	S	65
て	テ+S	HIRAGANA	S	66
作	ツク	KANJI	S	68
ら	ラ	HIRAGANA	S	69
れ	レ	HIRAGANA	S	70
ま	マ	HIRAGANA	S	71
す	ス	HIRAGANA	S	72
。	。+S	SYMBOL	S	73
音	オン	KANJI	S	74
楽	ガク	KANJI	S	75
は	ワ	HIRAGANA	S	76
、	、+S	SYMBOL	S	77
文	ブン	KANJI	S	78
化	カ	KANJI	S	79
や	ヤ+S	HIRAGANA	S	80
時	ジ	KANJI	S	82
代	ダイ	KANJI	S	83
に	ニ+S	HIRAGANA	S	84
よ	ヨ	HIRAGANA	S	86
っ	ッ	HIRAGANA	S	87
て	テ+S	HIRAGANA	S	88
様	サマ	KANJI	S	90
々	ザマ	OTHER	S	91
な	ナ+S	HIRAGANA	S	92
ス	ス	KATAKANA	S	94
タ	タ	KATAKANA	S	95
イ	イ	KATAKANA	S	96
ル	ル	KATAKANA	S	97
や	ヤ+S	HIRAGANA	S	98
ジ	ジャ	KATAKANA	B	100
ャ	---	KATAKANA	E	101
ン	ン	KATAKANA	S	102
ル	ル	KATAKANA	S	103
が	ガ+S	HIRAGANA	S	104
存	ソン	KANJI	S	106
在	ザイ+S	KANJI	S	107
し	シ	HIRAGANA	S	109
、	、+S	SYMBOL	S	110
