#原文	読み	文字種	OrigIdx
ル	ル	CharType.KATAKANA	102
メ	メ	CharType.KATAKANA	103
を	ヲ+S	CharType.HIRAGANA	104
楽	タノ	CharType.KANJI	105
し	シ	CharType.HIRAGANA	106
む	ム	CharType.HIRAGANA	107
の	ノ	CharType.HIRAGANA	108
も	モ+S	CharType.HIRAGANA	109
良	ヨ	CharType.KANJI	110
い	イ	CharType.HIRAGANA	111
で	デ	CharType.HIRAGANA	112
し	ショ	CharType.HIRAGANA	113
ょ	---	CharType.HIRAGANA	114
う	ー	CharType.HIRAGANA	115
。	_	CharType.SYMBOL_STOP	116
長	チョー	CharType.KANJI	117
距	キョ	CharType.KANJI	118
離	リ	CharType.KANJI	119
の	ノ+S	CharType.HIRAGANA	120
場	バ	CharType.KANJI	121
合	アイ	CharType.KANJI	122
は	ワ	CharType.HIRAGANA	123
、	_	CharType.SYMBOL_PAUSE	124
適	テキ	CharType.KANJI	125
度	ド	CharType.KANJI	126
に	ニ+S	CharType.HIRAGANA	127
休	キュー	CharType.KANJI	128
憩	ケイ	CharType.KANJI	129
を	ヲ+S	CharType.HIRAGANA	130
取	ト	CharType.KANJI	131
り	リ	CharType.HIRAGANA	132
、	_	CharType.SYMBOL_PAUSE	133
安	アン	CharType.KANJI	134
全	ゼン+S	CharType.KANJI	135
運	ウン	CharType.KANJI	136
転	テン	CharType.KANJI	137
を	ヲ+S	CharType.HIRAGANA	138
心	ココロ	CharType.KANJI	139
が	ガ	CharType.HIRAGANA	140
け	ケ	CharType.HIRAGANA	141
る	ル+S	CharType.HIRAGANA	142
こ	コ	CharType.HIRAGANA	143
と	ト	CharType.HIRAGANA	144
が	ガ+S	CharType.HIRAGANA	145
重	ジュー	CharType.KANJI	146
要	ヨー	CharType.KANJI	147
で	デ	CharType.HIRAGANA	148
す	ス	CharType.HIRAGANA	149
。	_	CharType.SYMBOL_STOP	150

占	ウラナ	CharType.KANJI	0
い	イ	CharType.HIRAGANA	1
は	ワ+S	CharType.HIRAGANA	2
未	ミ	CharType.KANJI	3
来	ライ	CharType.KANJI	4
を	ヲ+S	CharType.HIRAGANA	5
予	ヨ	CharType.KANJI	6
測	ソク+S	CharType.KANJI	7
し	シ	CharType.HIRAGANA	8
た	タ	CharType.HIRAGANA	9
り	リ	CharType.HIRAGANA	10
、	_	CharType.SYMBOL_PAUSE	11
自	ジ	CharType.KANJI	12
分	ブン	CharType.KANJI	13
の	ノ+S	CharType.HIRAGANA	14
性	セイ	CharType.KANJI	15
格	カク	CharType.KANJI	16
を	ヲ+S	CharType.HIRAGANA	17
知	シ	CharType.KANJI	18
っ	ッ	CharType.HIRAGANA	19
た	タ	CharType.HIRAGANA	20
り	リ+S	CharType.HIRAGANA	21
す	ス	CharType.HIRAGANA	22
る	ル+S	CharType.HIRAGANA	23
た	タ	CharType.HIRAGANA	24
め	メ	CharType.HIRAGANA	25
の	ノ+S	CharType.HIRAGANA	26
娯	ゴ	CharType.KANJI	27
楽	ラク	CharType.KANJI	28
で	デ	CharType.HIRAGANA	29
す	ス	CharType.HIRAGANA	30
。	_	CharType.SYMBOL_STOP	31
星	セイ	CharType.KANJI	32
座	ザ+S	CharType.KANJI	33
占	ウラナ	CharType.KANJI	34
い	イ	CharType.HIRAGANA	35
、	_	CharType.SYMBOL_PAUSE	36
タ	タ	CharType.KATAKANA	37
ロ	ロ	CharType.KATAKANA	38
ッ	ッ	CharType.KATAKANA	39
ト	ト+S	CharType.KATAKANA	40
占	ウラナ	CharType.KANJI	41
い	イ	CharType.HIRAGANA	42
、	_	CharType.SYMBOL_PAUSE	43
手	テ	CharType.KANJI	44
相	ソー+S	CharType.KANJI	45
占	ウラナ	CharType.KANJI	46
い	イ	CharType.HIRAGANA	47
な	ナ	CharType.HIRAGANA	48
ど	ド	CharType.HIRAGANA	49
、	_	CharType.SYMBOL_PAUSE	50
様	サマ	CharType.KANJI	51
々	ザマ	CharType.OTHER	52
な	ナ+S	CharType.HIRAGANA	53
種	シュ	CharType.KANJI	54
類	ルイ	CharType.KANJI	55
が	ガ+S	CharType.HIRAGANA	56
あ	ア	CharType.HIRAGANA	57
り	リ	CharType.HIRAGANA	58
ま	マ	CharType.HIRAGANA	59
す	ス	CharType.HIRAGANA	60
。	_	CharType.SYMBOL_STOP	61
良	ヨ	CharType.KANJI	62
い	イ+S	CharType.HIRAGANA	63
結	ケッ	CharType.KANJI	64
果	カ	CharType.KANJI	65
が	ガ+S	CharType.HIRAGANA	66
出	デ	CharType.KANJI	67
る	ル	CharType.HIRAGANA	68
と	ト+S	CharType.HIRAGANA	69
嬉	ウレ	CharType.KANJI	70
し	シ	CharType.HIRAGANA	71
く	ク+S	CharType.HIRAGANA	72
な	ナ	CharType.HIRAGANA	73
り	リ	CharType.HIRAGANA	74
、	_	CharType.SYMBOL_PAUSE	75
モ	モ	CharType.KATAKANA	76
チ	チ	CharType.KATAKANA	77
ベ	ベ	CharType.KATAKANA	78
ー	ー	CharType.KATAKANA	79
シ	ショ	CharType.KATAKANA	80
ョ	---	CharType.KATAKANA	81
ン	ン	CharType.KATAKANA	82
が	ガ+S	CharType.HIRAGANA	83
上	ア	CharType.KANJI	84
が	ガ	CharType.HIRAGANA	85
り	リ	CharType.HIRAGANA	86
ま	マ	CharType.HIRAGANA	87
す	ス	CharType.HIRAGANA	88
。	_	CharType.SYMBOL_STOP	89
占	ウラナ	CharType.KANJI	90
い	イ	CharType.HIRAGANA	91
を	ヲ+S	CharType.HIRAGANA	92
信	シン	CharType.KANJI	93
じ	ジ	CharType.HIRAGANA	94
す	ス	CharType.HIRAGANA	95
ぎ	ギ	CharType.HIRAGANA	96
ず	ズ	CharType.HIRAGANA	97
、	_	CharType.SYMBOL_PAUSE	98
参	サン	CharType.KANJI	99
考	コー+S	CharType.KANJI	100
程	テイ	CharType.KANJI	101
度	ド	CharType.KANJI	102
に	ニ+S	CharType.HIRAGANA	103
す	ス	CharType.HIRAGANA	104
る	ル+S	CharType.HIRAGANA	105
こ	コ	CharType.HIRAGANA	106
と	ト	CharType.HIRAGANA	107
が	ガ+S	CharType.HIRAGANA	108
大	タイ	CharType.KANJI	109
切	セツ	CharType.KANJI	110
で	デ	CharType.HIRAGANA	111
す	ス	CharType.HIRAGANA	112
。	_	CharType.SYMBOL_STOP	113
友	ユー	CharType.KANJI	114
人	ジン	CharType.KANJI	115
と	ト+S	CharType.HIRAGANA	116
一	イッ	CharType.JAPANESE_NUMERIC	117
緒	ショ	CharType.KANJI	118
に	ニ+S	CharType.HIRAGANA	119
占	ウラナ	CharType.KANJI	120
い	イ	CharType.HIRAGANA	121
の	ノ+S	CharType.HIRAGANA	122
結	ケッ	CharType.KANJI	123
果	カ	CharType.KANJI	124
を	ヲ+S	CharType.HIRAGANA	125
話	ハナ	CharType.KANJI	126
し	シ	CharType.HIRAGANA	127
合	ア	CharType.KANJI	128
う	ウ	CharType.HIRAGANA	129
の	ノ	CharType.HIRAGANA	130
も	モ+S	CharType.HIRAGANA	131
楽	タノ	CharType.KANJI	132
し	シ	CharType.HIRAGANA	133
い	イ	CharType.HIRAGANA	134
で	デ	CharType.HIRAGANA	135
す	ス	CharType.HIRAGANA	136
。	_	CharType.SYMBOL_STOP	137
新	アタラ	CharType.KANJI	138
し	シ	CharType.HIRAGANA	139
い	イ+S	CharType.HIRAGANA	140
視	シ	CharType.KANJI	141
点	テン	CharType.KANJI	142
を	ヲ+S	CharType.HIRAGANA	143
得	エ	CharType.KANJI	144
ら	ラ	CharType.HIRAGANA	145
れ	レ	CharType.HIRAGANA	146
る	ル+S	CharType.HIRAGANA	147
こ	コ	CharType.HIRAGANA	148
と	ト	CharType.HIRAGANA	149
も	モ+S	CharType.HIRAGANA	150
あ	ア	CharType.HIRAGANA	151
り	リ	CharType.HIRAGANA	152
ま	マ	CharType.HIRAGANA	153
す	ス	CharType.HIRAGANA	154
。	_	CharType.SYMBOL_STOP	155

パ	パ	CharType.KATAKANA	0
ズ	ズ	CharType.KATAKANA	1
ル	ル+S	CharType.KATAKANA	2
ゲ	ゲ	CharType.KATAKANA	3
ー	ー	CharType.KATAKANA	4
ム	ム	CharType.KATAKANA	5
は	ワ+S	CharType.HIRAGANA	6
論	ロン	CharType.KANJI	7
理	リ	CharType.KANJI	8
的	テキ+S	CharType.KANJI	9
思	シ	CharType.KANJI	10
考	コー	CharType.KANJI	11
を	ヲ+S	CharType.HIRAGANA	12
必	ヒツ	CharType.KANJI	13
要	ヨー	CharType.KANJI	14
と	ト+S	CharType.HIRAGANA	15
す	ス	CharType.HIRAGANA	16
る	ル+S	CharType.HIRAGANA	17
遊	アソ	CharType.KANJI	18
び	ビ	CharType.HIRAGANA	19
で	デ+S	CharType.HIRAGANA	20
あ	ア	CharType.HIRAGANA	21
り	リ	CharType.HIRAGANA	22
、	_	CharType.SYMBOL_PAUSE	23
ス	ス	CharType.KATAKANA	24
マ	マ	CharType.KATAKANA	25
ー	ー	CharType.KATAKANA	26
ト	ト	CharType.KATAKANA	27
フ	フォ	CharType.KATAKANA	28
ォ	---	CharType.KATAKANA	29
ン	ン	CharType.KATAKANA	30
や	ヤ+S	CharType.HIRAGANA	31
ゲ	ゲ	CharType.KATAKANA	32
ー	ー	CharType.KATAKANA	33
ム	ム	CharType.KATAKANA	34
機	キ	CharType.KANJI	35
で	デ+S	CharType.HIRAGANA	36
手	テ	CharType.KANJI	37
軽	ガル	CharType.KANJI	38
に	ニ+S	CharType.HIRAGANA	39
楽	タノ	CharType.KANJI	40
し	シ	CharType.HIRAGANA	41
め	メ	CharType.HIRAGANA	42
ま	マ	CharType.HIRAGANA	43
す	ス	CharType.HIRAGANA	44
。	_	CharType.SYMBOL_STOP	45
短	タン	CharType.KANJI	46
時	ジ	CharType.KANJI	47
間	カン	CharType.KANJI	48
で	デ+S	CharType.HIRAGANA	49
遊	アソ	CharType.KANJI	50
べ	ベ	CharType.HIRAGANA	51
る	ル+S	CharType.HIRAGANA	52
も	モ	CharType.HIRAGANA	53
の	ノ	CharType.HIRAGANA	54
か	カ	CharType.HIRAGANA	55
ら	ラ	CharType.HIRAGANA	56
、	_	CharType.SYMBOL_PAUSE	57
じ	ジ	CharType.HIRAGANA	58
っ	ッ	CharType.HIRAGANA	59
く	ク	CharType.HIRAGANA	60
り	リ+S	CharType.HIRAGANA	61
取	ト	CharType.KANJI	62
り	リ	CharType.HIRAGANA	63
組	ク	CharType.KANJI	64
む	ム+S	CharType.HIRAGANA	65
も	モ	CharType.HIRAGANA	66
の	ノ	CharType.HIRAGANA	67
ま	マ	CharType.HIRAGANA	68
で	デ+S	CharType.HIRAGANA	69
様	サマ	CharType.KANJI	70
々	ザマ	CharType.OTHER	71
で	デ	CharType.HIRAGANA	72
す	ス	CharType.HIRAGANA	73
。	_	CharType.SYMBOL_STOP	74
ク	ク	CharType.KATAKANA	75
リ	リ	CharType.KATAKANA	76
ア	ア+S	CharType.KATAKANA	77
し	シ	CharType.HIRAGANA	78
た	タ+S	CharType.HIRAGANA	79
と	ト	CharType.HIRAGANA	80
き	キ	CharType.HIRAGANA	81
の	ノ+S	CharType.HIRAGANA	82
達	タッ	CharType.KANJI	83
成	セイ	CharType.KANJI	84
感	カン	CharType.KANJI	85
が	ガ+S	CharType.HIRAGANA	86
次	ツギ	CharType.KANJI	87
の	ノ+S	CharType.HIRAGANA	88
ス	ス	CharType.KATAKANA	89
テ	テ	CharType.KATAKANA	90
ー	ー	CharType.KATAKANA	91
ジ	ジ	CharType.KATAKANA	92
へ	エ	CharType.HIRAGANA	93
の	ノ+S	CharType.HIRAGANA	94
意	イ	CharType.KANJI	95
欲	ヨク	CharType.KANJI	96
を	ヲ+S	CharType.HIRAGANA	97
高	タカ	CharType.KANJI	98
め	メ	CharType.HIRAGANA	99
ま	マ	CharType.HIRAGANA	100
す	ス	CharType.HIRAGANA	101
。	_	CharType.SYMBOL_STOP	102
通	ツー	CharType.KANJI	103
勤	キン+S	CharType.KANJI	104
時	ジ	CharType.KANJI	105
間	カン	CharType.KANJI	106
や	ヤ+S	CharType.HIRAGANA	107
待	マ	CharType.KANJI	108
ち	チ+S	CharType.HIRAGANA	109
時	ジ	CharType.KANJI	110
間	カン	CharType.KANJI	111
に	ニ+S	CharType.HIRAGANA	112
最	サイ	CharType.KANJI	113
適	テキ	CharType.KANJI	114
な	ナ+S	CharType.HIRAGANA	115
暇	ヒマ	CharType.KANJI	116
つ	ツ	CharType.HIRAGANA	117
ぶ	ブ	CharType.HIRAGANA	118
し	シ	CharType.HIRAGANA	119
で	デ	CharType.HIRAGANA	120
す	ス	CharType.HIRAGANA	121
。	_	CharType.SYMBOL_STOP	122
頭	アタマ	CharType.KANJI	123
の	ノ+S	CharType.HIRAGANA	124
体	タイ	CharType.KANJI	125
操	ソー	CharType.KANJI	126
に	ニ	CharType.HIRAGANA	127
も	モ+S	CharType.HIRAGANA	128
な	ナ	CharType.HIRAGANA	129
り	リ	CharType.HIRAGANA	130
、	_	CharType.SYMBOL_PAUSE	131
集	シュー	CharType.KANJI	132
中	チュー	CharType.KANJI	133
力	リョク	CharType.KANJI	134
を	ヲ+S	CharType.HIRAGANA	135
鍛	キタ	CharType.KANJI	136
え	エ	CharType.HIRAGANA	137
る	ル+S	CharType.HIRAGANA	138
こ	コ	CharType.HIRAGANA	139
と	ト	CharType.HIRAGANA	140
が	ガ+S	CharType.HIRAGANA	141
で	デ	CharType.HIRAGANA	142
き	キ	CharType.HIRAGANA	143
ま	マ	CharType.HIRAGANA	144
す	ス	CharType.HIRAGANA	145
。	_	CharType.SYMBOL_STOP	146
無	ム	CharType.KANJI	147
料	リョー	CharType.KANJI	148
で	デ+S	CharType.HIRAGANA	149
遊	アソ	CharType.KANJI	150
べ	ベ	CharType.HIRAGANA	151
る	ル+S	CharType.HIRAGANA	152
も	モ	CharType.HIRAGANA	153
の	ノ	CharType.HIRAGANA	154
も	モ+S	CharType.HIRAGANA	155
多	オオ	CharType.KANJI	156
い	イ	CharType.HIRAGANA	157
で	デ	CharType.HIRAGANA	158
す	ス	CharType.HIRAGANA	159
。	_	CharType.SYMBOL_STOP	160

寿	ス	CharType.KANJI	0
司	シ	CharType.KANJI	1
は	ワ+S	CharType.HIRAGANA	2
新	シン	CharType.KANJI	3
鮮	セン	CharType.KANJI	4
な	ナ+S	CharType.HIRAGANA	5
魚	ギョ	CharType.KANJI	6
介	カイ	CharType.KANJI	7
類	ルイ	CharType.KANJI	8
を	ヲ+S	CharType.HIRAGANA	9
使	ツカ	CharType.KANJI	10
っ	ッ	CharType.HIRAGANA	11
た	タ+S	CharType.HIRAGANA	12
日	ニ	CharType.KANJI	13
本	ホン+S	CharType.KANJI	14
料	リョー	CharType.KANJI	15
理	リ	CharType.KANJI	16
の	ノ+S	CharType.HIRAGANA	17
代	ダイ	CharType.KANJI	18
表	ヒョー	CharType.KANJI	19
格	カク	CharType.KANJI	20
で	デ+S	CharType.HIRAGANA	21
あ	ア	CharType.HIRAGANA	22
り	リ	CharType.HIRAGANA	23
、	_	CharType.SYMBOL_PAUSE	24
世	セ	CharType.KANJI	25
界	カイ	CharType.KANJI	26
中	ジュー	CharType.KANJI	27
で	デ+S	CharType.HIRAGANA	28
人	ニン	CharType.KANJI	29
気	キ	CharType.KANJI	30
が	ガ+S	CharType.HIRAGANA	31
あ	ア	CharType.HIRAGANA	32
り	リ	CharType.HIRAGANA	33
ま	マ	CharType.HIRAGANA	34
す	ス	CharType.HIRAGANA	35
。	_	CharType.SYMBOL_STOP	36
職	ショク	CharType.KANJI	37
人	ニン	CharType.KANJI	38
が	ガ+S	CharType.HIRAGANA	39
握	ニギ	CharType.KANJI	40
る	ル+S	CharType.HIRAGANA	41
寿	ス	CharType.KANJI	42
司	シ	CharType.KANJI	43
は	ワ	CharType.HIRAGANA	44
、	_	CharType.SYMBOL_PAUSE	45
見	ミ	CharType.KANJI	46
た	タ+S	CharType.HIRAGANA	47
目	メ	CharType.KANJI	48
も	モ+S	CharType.HIRAGANA	49
美	ウツク	CharType.KANJI	50
し	シ	CharType.HIRAGANA	51
く	ク	CharType.HIRAGANA	52
、	_	CharType.SYMBOL_PAUSE	53
味	アジ	CharType.KANJI	54
も	モ+S	CharType.HIRAGANA	55
格	カク	CharType.KANJI	56
別	ベツ	CharType.KANJI	57
で	デ	CharType.HIRAGANA	58
す	ス	CharType.HIRAGANA	59
。	_	CharType.SYMBOL_STOP	60
回	カイ	CharType.KANJI	61
転	テン+S	CharType.KANJI	62
寿	ズ	CharType.KANJI	63
司	シ	CharType.KANJI	64
で	デ	CharType.HIRAGANA	65
は	ワ	CharType.HIRAGANA	66
、	_	CharType.SYMBOL_PAUSE	67
手	テ	CharType.KANJI	68
頃	ゴロ	CharType.KANJI	69
な	ナ+S	CharType.HIRAGANA	70
価	カ	CharType.KANJI	71
格	カク	CharType.KANJI	72
で	デ+S	CharType.HIRAGANA	73
様	サマ	CharType.KANJI	74
々	ザマ	CharType.OTHER	75
な	ナ+S	CharType.HIRAGANA	76
種	シュ	CharType.KANJI	77
類	ルイ	CharType.KANJI	78
を	ヲ+S	CharType.HIRAGANA	79
楽	タノ	CharType.KANJI	80
し	シ	CharType.HIRAGANA	81
め	メ	CharType.HIRAGANA	82
ま	マ	CharType.HIRAGANA	83
す	ス	CharType.HIRAGANA	84
。	_	CharType.SYMBOL_STOP	85
醤	ショー	CharType.KANJI	86
油	ユ	CharType.KANJI	87
や	ヤ+S	CharType.HIRAGANA	88
わ	ワ	CharType.HIRAGANA	89
さ	サ	CharType.HIRAGANA	90
び	ビ	CharType.HIRAGANA	91
を	ヲ+S	CharType.HIRAGANA	92
つ	ツ	CharType.HIRAGANA	93
け	ケ	CharType.HIRAGANA	94
て	テ+S	CharType.HIRAGANA	95
食	タ	CharType.KANJI	96
べ	ベ	CharType.HIRAGANA	97
る	ル	CharType.HIRAGANA	98
の	ノ	CharType.HIRAGANA	99
が	ガ+S	CharType.HIRAGANA	100
一	イッ	CharType.JAPANESE_NUMERIC	101
般	パン	CharType.KANJI	102
的	テキ	CharType.KANJI	103
で	デ	CharType.HIRAGANA	104
す	ス	CharType.HIRAGANA	105
。	_	CharType.SYMBOL_STOP	106
特	トク	CharType.KANJI	107
別	ベツ	CharType.KANJI	108
な	ナ+S	CharType.HIRAGANA	109
日	ヒ	CharType.KANJI	110
に	ニ	CharType.HIRAGANA	111
は	ワ+S	CharType.HIRAGANA	112
高	コー	CharType.KANJI	113
級	キュー+S	CharType.KANJI	114
寿	ス	CharType.KANJI	115
司	シ	CharType.KANJI	116
店	テン	CharType.KANJI	117
で	デ+S	CharType.HIRAGANA	118
贅	ゼイ	CharType.KANJI	119
沢	タク	CharType.KANJI	120
を	ヲ+S	CharType.HIRAGANA	121
す	ス	CharType.HIRAGANA	122
る	ル	CharType.HIRAGANA	123
の	ノ	CharType.HIRAGANA	124
も	モ+S	CharType.HIRAGANA	125
良	ヨ	CharType.KANJI	126
い	イ	CharType.HIRAGANA	127
で	デ	CharType.HIRAGANA	128
し	ショ	CharType.HIRAGANA	129
ょ	---	CharType.HIRAGANA	130
う	ー	CharType.HIRAGANA	131
。	_	CharType.SYMBOL_STOP	132
新	シン	CharType.KANJI	133
鮮	セン	CharType.KANJI	134
な	ナ+S	CharType.HIRAGANA	135
ネ	ネ	CharType.KATAKANA	136
タ	タ	CharType.KATAKANA	137
の	ノ+S	CharType.HIRAGANA	138
美	オ	CharType.KANJI	139
味	イ	CharType.KANJI	140
し	シ	CharType.HIRAGANA	141
さ	サ	CharType.HIRAGANA	142
は	ワ+S	CharType.HIRAGANA	143
格	カク	CharType.KANJI	144
別	ベツ	CharType.KANJI	145
で	デ	CharType.HIRAGANA	146
す	ス	CharType.HIRAGANA	147
。	_	CharType.SYMBOL_STOP	148

ト	ト	CharType.KATAKANA	0
レ	レ	CharType.KATAKANA	1
ッ	ッ	CharType.KATAKANA	2
キ	キ	CharType.KATAKANA	3
ン	ン	CharType.KATAKANA	4
グ	グ	CharType.KATAKANA	5
は	ワ+S	CharType.HIRAGANA	6
山	ヤマ	CharType.KANJI	7
道	ミチ	CharType.KANJI	8
を	ヲ+S	CharType.HIRAGANA	9
歩	アル	CharType.KANJI	10
く	ク+S	CharType.HIRAGANA	11
活	カツ	CharType.KANJI	12
動	ドー	CharType.KANJI	13
で	デ+S	CharType.HIRAGANA	14
あ	ア	CharType.HIRAGANA	15
り	リ	CharType.HIRAGANA	16
、	_	CharType.SYMBOL_PAUSE	17
登	ト	CharType.KANJI	18
山	ザン	CharType.KANJI	19
よ	ヨ	CharType.HIRAGANA	20
り	リ	CharType.HIRAGANA	21
も	モ+S	CharType.HIRAGANA	22
軽	ケイ	CharType.KANJI	23
装	ソー	CharType.KANJI	24
で	デ+S	CharType.HIRAGANA	25
楽	タノ	CharType.KANJI	26
し	シ	CharType.HIRAGANA	27
め	メ	CharType.HIRAGANA	28
ま	マ	CharType.HIRAGANA	29
す	ス	CharType.HIRAGANA	30
。	_	CharType.SYMBOL_STOP	31
自	シ	CharType.KANJI	32
然	ゼン	CharType.KANJI	33
の	ノ+S	CharType.HIRAGANA	34
中	ナカ	CharType.KANJI	35
を	ヲ+S	CharType.HIRAGANA	36
歩	アル	CharType.KANJI	37
く	ク+S	CharType.HIRAGANA	38
こ	コ	CharType.HIRAGANA	39
と	ト	CharType.HIRAGANA	40
で	デ	CharType.HIRAGANA	41
、	_	CharType.SYMBOL_PAUSE	42
日	ニチ	CharType.KANJI	43
常	ジョー	CharType.KANJI	44
の	ノ+S	CharType.HIRAGANA	45
ス	ス	CharType.KATAKANA	46
ト	ト	CharType.KATAKANA	47
レ	レ	CharType.KATAKANA	48
ス	ス	CharType.KATAKANA	49
か	カ	CharType.HIRAGANA	50
ら	ラ+S	CharType.HIRAGANA	51
解	カイ	CharType.KANJI	52
放	ホー+S	CharType.KANJI	53
さ	サ	CharType.HIRAGANA	54
れ	レ	CharType.HIRAGANA	55
ま	マ	CharType.HIRAGANA	56
す	ス	CharType.HIRAGANA	57
。	_	CharType.SYMBOL_STOP	58
道	ドー	CharType.KANJI	59
中	チュー	CharType.KANJI	60
で	デ+S	CharType.HIRAGANA	61
出	デ	CharType.KANJI	62
会	ア	CharType.KANJI	63
う	ウ+S	CharType.HIRAGANA	64
植	ショク	CharType.KANJI	65
物	ブツ	CharType.KANJI	66
や	ヤ+S	CharType.HIRAGANA	67
動	ドー	CharType.KANJI	68
物	ブツ	CharType.KANJI	69
を	ヲ+S	CharType.HIRAGANA	70
観	カン	CharType.KANJI	71
察	サツ+S	CharType.KANJI	72
す	ス	CharType.HIRAGANA	73
る	ル	CharType.HIRAGANA	74
の	ノ	CharType.HIRAGANA	75
も	モ+S	CharType.HIRAGANA	76
楽	タノ	CharType.KANJI	77
し	シ	CharType.HIRAGANA	78
み	ミ	CharType.HIRAGANA	79
の	ノ+S	CharType.HIRAGANA	80
一	ヒト	CharType.JAPANESE_NUMERIC	81
つ	ツ	CharType.HIRAGANA	82
で	デ	CharType.HIRAGANA	83
す	ス	CharType.HIRAGANA	84
。	_	CharType.SYMBOL_STOP	85
適	テキ	CharType.KANJI	86
度	ド	CharType.KANJI	87
な	ナ+S	CharType.HIRAGANA	88
運	ウン	CharType.KANJI	89
動	ドー	CharType.KANJI	90
に	ニ+S	CharType.HIRAGANA	91
な	ナ	CharType.HIRAGANA	92
り	リ	CharType.HIRAGANA	93
、	_	CharType.SYMBOL_PAUSE	94
健	ケン	CharType.KANJI	95
康	コー+S	CharType.KANJI	96
維	イ	CharType.KANJI	97
持	ジ	CharType.KANJI	98
に	ニ+S	CharType.HIRAGANA	99
役	ヤク	CharType.KANJI	100
立	ダ	CharType.KANJI	101
ち	チ	CharType.HIRAGANA	102
ま	マ	CharType.HIRAGANA	103
す	ス	CharType.HIRAGANA	104
。	_	CharType.SYMBOL_STOP	105
仲	ナカ	CharType.KANJI	106
間	マ	CharType.KANJI	107
と	ト+S	CharType.HIRAGANA	108
一	イッ	CharType.JAPANESE_NUMERIC	109
緒	ショ	CharType.KANJI	110
に	ニ+S	CharType.HIRAGANA	111
歩	アル	CharType.KANJI	112
く	ク+S	CharType.HIRAGANA	113
こ	コ	CharType.HIRAGANA	114
と	ト	CharType.HIRAGANA	115
で	デ	CharType.HIRAGANA	116
、	_	CharType.SYMBOL_PAUSE	117
会	カイ	CharType.KANJI	118
話	ワ	CharType.KANJI	119
を	ヲ+S	CharType.HIRAGANA	120
楽	タノ	CharType.KANJI	121
し	シ	CharType.HIRAGANA	122
み	ミ	CharType.HIRAGANA	123
な	ナ	CharType.HIRAGANA	124
が	ガ	CharType.HIRAGANA	125
ら	ラ+S	CharType.HIRAGANA	126
進	スス	CharType.KANJI	127
め	メ	CharType.HIRAGANA	128
ま	マ	CharType.HIRAGANA	129
す	ス	CharType.HIRAGANA	130
。	_	CharType.SYMBOL_STOP	131
水	スイ	CharType.KANJI	132
分	ブン+S	CharType.KANJI	133
補	ホ	CharType.KANJI	134
給	キュー	CharType.KANJI	135
と	ト+S	CharType.HIRAGANA	136
休	キュー	CharType.KANJI	137
憩	ケイ	CharType.KANJI	138
を	ヲ+S	CharType.HIRAGANA	139
適	テキ	CharType.KANJI	140
度	ド	CharType.KANJI	141
に	ニ+S	CharType.HIRAGANA	142
取	ト	CharType.KANJI	143
り	リ	CharType.HIRAGANA	144
ま	マ	CharType.HIRAGANA	145
し	ショ	CharType.HIRAGANA	146
ょ	---	CharType.HIRAGANA	147
う	ー	CharType.HIRAGANA	148
。	_	CharType.SYMBOL_STOP	149

絵	カイ	CharType.KANJI	0
画	ガ	CharType.KANJI	1
は	ワ+S	CharType.HIRAGANA	2
色	イロ	CharType.KANJI	3
や	ヤ+S	CharType.HIRAGANA	4
形	カタチ	CharType.KANJI	5
を	ヲ+S	CharType.HIRAGANA	6
使	ツカ	CharType.KANJI	7
っ	ッ	CharType.HIRAGANA	8
て	テ+S	CharType.HIRAGANA	9
自	ジ	CharType.KANJI	10
分	ブン	CharType.KANJI	11
の	ノ+S	CharType.HIRAGANA	12
感	カン	CharType.KANJI	13
性	セイ	CharType.KANJI	14
を	ヲ+S	CharType.HIRAGANA	15
表	ヒョー	CharType.KANJI	16
現	ゲン+S	CharType.KANJI	17
す	ス	CharType.HIRAGANA	18
る	ル+S	CharType.HIRAGANA	19
芸	ゲイ	CharType.KANJI	20
術	ジュツ	CharType.KANJI	21
で	デ	CharType.HIRAGANA	22
す	ス	CharType.HIRAGANA	23
。	_	CharType.SYMBOL_STOP	24
水	スイ	CharType.KANJI	25
彩	サイ	CharType.KANJI	26
、	_	CharType.SYMBOL_PAUSE	27
油	アブラ	CharType.KANJI	28
絵	エ	CharType.KANJI	29
、	_	CharType.SYMBOL_PAUSE	30
ア	ア	CharType.KATAKANA	31
ク	ク	CharType.KATAKANA	32
リ	リ	CharType.KATAKANA	33
ル	ル	CharType.KATAKANA	34
な	ナ	CharType.HIRAGANA	35
ど	ド	CharType.HIRAGANA	36
、	_	CharType.SYMBOL_PAUSE	37
画	ガ	CharType.KANJI	38
材	ザイ	CharType.KANJI	39
に	ニ+S	CharType.HIRAGANA	40
よ	ヨ	CharType.HIRAGANA	41
っ	ッ	CharType.HIRAGANA	42
て	テ+S	CharType.HIRAGANA	43
表	ヒョー	CharType.KANJI	44
現	ゲン+S	CharType.KANJI	45
方	ホー	CharType.KANJI	46
法	ホー	CharType.KANJI	47
が	ガ+S	CharType.HIRAGANA	48
異	コト	CharType.KANJI	49
な	ナ	CharType.HIRAGANA	50
り	リ	CharType.HIRAGANA	51
ま	マ	CharType.HIRAGANA	52
す	ス	CharType.HIRAGANA	53
。	_	CharType.SYMBOL_STOP	54
上	ジョー	CharType.KANJI	55
手	ズ	CharType.KANJI	56
